iso3,year,sap,pop_total,sap_share,hh_exp_pct,private_enrolment_pct
BFA,2019,3601651.0,20961952.0,0.17181849285791706,,21.48678016662598
BFA,2020,3694857.0,21478690.0,0.17202431805664126,,23.38672065734863
BFA,2021,3780509.0,21995243.0,0.17187848299743722,,24.40755081176758
BFA,2022,3859802.0,22509038.0,0.1714778747985587,,26.33700942993164
BFA,2023,3925248.0,23025776.0,0.17047190939406343,,29.6848201751709
BFA,2024,3975736.0,23548781.0,0.16882980057439068,,28.18001937866211
BFA,2025,3998362.0,,,,
BGD,2010,17923384.0,152201981.0,0.11776051719064025,,
BGD,2011,17902070.0,153591076.0,0.11655670671908047,,
BGD,2012,17771604.0,155070101.0,0.11460367850021584,,
BGD,2013,17565508.0,156532141.0,0.11221662137745883,,
BGD,2014,17319528.0,157964929.0,0.10964160278893298,,
BGD,2015,17036336.0,159383179.0,0.10688917178644053,,
BGD,2016,16711040.0,160811932.0,0.10391666707915678,3.75,
BGD,2017,16356490.0,162186147.0,0.10085010528056998,,21.39804077148438
BGD,2018,16175116.0,163523103.0,0.09891639592969319,,23.90352058410645
BGD,2019,16053834.0,164913055.0,0.09734725974241397,,
BGD,2020,15993803.0,166298024.0,0.09617554445505619,,
BGD,2021,15954287.0,167658854.0,0.09515922732001973,,
BGD,2022,15920256.0,169384897.0,0.09398863937674444,,
BGD,2023,15761604.0,171466990.0,0.09192208949372704,,
BGD,2024,15669471.0,173562364.0,0.09028150250361881,,
BGD,2025,15644603.0,,,,
BGR,2010,256744.0,7395599.0,0.03471578164256878,0.8883005976676941,0.764769971370697
BGR,2011,252260.0,7348328.0,0.034328897675770596,0.9126840829849243,0.7377899885177612
BGR,2012,251459.0,7305888.0,0.034418677099895316,0.9036949276924133,0.7548400163650513
BGR,2013,256779.0,7160005.0,0.03586296378284652,0.9530897736549377,0.7927500009536743
BGR,2014,260797.0,7073572.0,0.036869208371668516,0.1484600007534027,0.796239972114563
BGR,2015,264098.0,6984225.0,0.037813501140069226,0.194470003247261,0.9163699746131897
BGR,2016,267105.0,6894139.0,0.03874377931747532,0.1670600026845932,1.091729998588562
BGR,2017,271023.0,6803468.0,0.03983600716575723,0.8945778012275696,1.297530055046082
BGR,2018,271442.0,6710798.0,0.040448542781350294,0.8590074777603149,1.478680014610291
BGR,2019,266339.0,6616726.0,0.04025238463856596,0.8090881705284119,1.67096996307373
BGR,2020,257245.0,6550696.0,0.03926987300280764,0.9007362723350525,1.872329950332642
BGR,2021,248650.0,6507301.0,0.03821092646551927,0.7837693095207214,2.051429986953735
BGR,2022,243562.0,6465097.0,0.03767337133534114,,2.089509963989258
BGR,2023,243905.0,6446596.0,0.037834696016316206,,2.208879947662354
BGR,2024,246148.0,6441421.0,0.038213307281110796,,2.219840049743652
BHR,2010,95214.0,1228543.0,0.07750156079192995,,
BHR,2011,96794.0,1195020.0,0.08099780756807418,,32.45663070678711
BHR,2012,93832.0,1208964.0,0.07761356003983576,,32.85351943969727
BHR,2013,92025.0,1253191.0,0.0734325414082929,1.070713043212891,33.85488891601563
BHR,2014,98638.0,1314562.0,0.07503487853749005,1.10723602771759,34.59337997436523
BHR,2015,107166.0,1370322.0,0.07820497664052682,1.28168797492981,35.53728866577148
BHR,2016,111498.0,1423726.0,0.07831422619239937,1.173918962478638,36.18769836425781
BHR,2017,114019.0,1501116.0,0.07595615528713304,1.034739971160889,36.50040054321289
BHR,2018,116721.0,1503091.0,0.07765398102975801,,36.91143035888672
BHR,2019,118961.0,1483756.0,0.08017558142983078,,37.17092895507813
BHR,2020,121541.0,1472204.0,0.08255717278311973,,
BHR,2021,117194.0,1504365.0,0.07790263666065084,,
BHR,2022,118280.0,1524693.0,0.07757627273162532,,38.01240158081055
BHR,2023,125129.0,1577059.0,0.0793432585591281,,39.26316070556641
BHR,2024,126250.0,1588670.0,0.07946898978390729,,37.73329162597656
BHR,2025,126537.0,,,,
BHS,2010,33154.0,367478.0,0.09022036693353072,,29.59061050415039
BHS,2011,33002.0,371729.0,0.08877972931893933,,26.13146018981934
BHS,2012,33067.0,375469.0,0.08806852230144166,,28.29390907287598
BHS,2013,33305.0,378953.0,0.0878868883476315,,23.75634956359863
BHS,2014,33590.0,382298.0,0.08786339452469016,,24.2296199798584
BHS,2015,,,,,25.60897064208984
BHS,2016,,,,,18.75387001037598
BHS,2018,,,,,22.66810989379883
BHS,2019,,,,,20.34296989440918
BHS,2020,32285.0,395863.0,0.08155599285611437,,
BHS,2021,31315.0,396373.0,0.07900386756918357,,19.59469985961914
BHS,2022,30580.0,397538.0,0.07692346392043024,,
BHS,2023,29736.0,399440.0,0.07444422191067494,,34.24134826660156
BHS,2024,28880.0,401283.0,0.07196915892275527,,27.46392059326172
BHS,2025,28065.0,,,,
BIH,2010,197584.0,3811472.0,0.05183928938740728,,1.215829968452454
BIH,2011,191745.0,3741798.0,0.051244081054081486,,1.521289944648743
BIH,2012,186774.0,3670113.0,0.05089053116348189,,1.213539958000183
BIH,2013,181622.0,3610859.0,0.05029883470941402,,1.318539977073669
BIH,2014,176513.0,3564829.0,0.049515138033268916,,1.511590003967285
BIH,2015,171739.0,3518541.0,0.04880971971052774,,1.609799981117249
BIH,2016,168049.0,3473003.0,0.04838723145358642,0.4854002892971039,1.593840003013611
BIH,2017,164370.0,3428682.0,0.04793970394454779,,1.707919955253601
BIH,2018,159833.0,3387000.0,0.0471901387658695,0.1587201058864594,1.607480049133301
BIH,2019,155855.0,3345533.0,0.04658599989896976,0.4423614144325256,
BIH,2020,151932.0,3299349.0,0.04604908422843416,,1.924070000648499
BIH,2021,145984.0,3244907.0,0.044988654528465684,0.4701685905456543,1.902629971504211
BIH,2022,141601.0,3204802.0,0.04418400887168693,,2.00940990447998
BIH,2023,139847.0,3185073.0,0.04390699993375348,,2.187000036239624
BIH,2024,138341.0,3164253.0,0.04371995538915504,,
BIH,2025,137610.0,,,,
BLR,2010,355031.0,9483836.0,0.03743537952364423,,0.060649998486042
BLR,2011,350550.0,9461643.0,0.037049590647205775,,0.0604900009930134
BLR,2012,351416.0,9446836.0,0.037199333194733133,,0.0548599995672703
BLR,2013,357772.0,9443211.0,0.03788668917807725,,0.0756400004029274
BLR,2014,373188.0,9448515.0,0.039497000322272866,0.167815125528984,0.0797199979424477
BLR,2015,393055.0,9461076.0,0.04154442898461021,0.1494669780892003,0.0847399979829788
BLR,2016,412896.0,9469379.0,0.04360328169355139,0.1603783787822937,0.0850199982523918
BLR,2017,427312.0,9458989.0,0.04517522961491974,0.1591516409577486,0.0955099985003471
BLR,2018,435477.0,9438785.0,0.04613697631633733,0.1658200628270111,0.1075399965047836
BLR,2019,446049.0,9419758.0,0.04735249037183333,0.1724223770225336,0.119889996945858
BLR,2020,455130.0,9379952.0,0.04852157025963459,0.1293479930537466,0.163770005106926
BLR,2021,465400.0,9302585.0,0.05002910481333952,0.142527354994092,0.22673000395298
BLR,2022,473991.0,9228071.0,0.05136403913667331,0.123676634202363,0.2688300013542175
BLR,2023,474691.0,9178298.0,0.05171884809144353,0.113930000249884,0.0099600004032254
BLR,2024,458617.0,9132629.0,0.050217412751574604,0.0925899967551231,0.1026899963617325
BLR,2025,432642.0,,,,
BLZ,2010,46615.0,320245.0,0.14556043029555496,,82.21652221679688
BLZ,2011,46636.0,327298.0,0.14248788565771867,,82.41056823730469
BLZ,2012,46523.0,334414.0,0.1391179795104272,,83.03703308105469
BLZ,2013,46310.0,341627.0,0.13555720127507487,,82.30269622802734
BLZ,2014,46068.0,348923.0,0.1320291296360515,,81.99815368652344
BLZ,2015,45837.0,356333.0,0.1286352933912941,,82.20156860351562
BLZ,2016,45082.0,364705.0,0.12361223454572874,,81.7916030883789
BLZ,2017,44549.0,373202.0,0.11936967111644632,,92.65995788574219
BLZ,2018,44179.0,380226.0,0.11619142299579724,0.0,92.78031921386719
BLZ,2019,44023.0,385829.0,0.11409976958704504,,81.90641021728516
BLZ,2020,44052.0,390812.0,0.11271915908416323,,81.78730010986328
BLZ,2021,44199.0,395346.0,0.11179827290525261,,81.30137634277344
BLZ,2022,44927.0,402733.0,0.11155529842352128,,80.97994232177734
